"시군구별",2019,2020,2021,2022,2023
"전국",2618918,2633026,2644700,2648424,2641896
"서울특별시",394843,394190,392123,390997,389795
"부산광역시",175378,176293,176451,176069,175467
"대구광역시",125485,126398,127282,127439,130521
"인천광역시",144574,146321,148646,150892,152226
"광주광역시",70177,70061,69819,69454,69314
"대전광역시",73222,72853,72489,71915,71440
"울산광역시",51014,51122,51330,51402,51383
"세종특별자치시",12046,12346,12630,12848,12944
"경기도",559878,569726,578668,583782,586421
"강원특별자치도",101484,101615,101714,101622,100520
"충청북도",97688,97932,97839,97863,97117
"충청남도",133724,134250,134749,134698,134004
"전북특별자치도",132364,132207,132057,131652,130189
"전라남도",141888,140942,139868,138410,136472
"경상북도",180898,181366,182538,182373,178340
"경상남도",187968,188749,189621,189874,188825
"제주도",36287,36655,36876,37134,36918
