"시점","시도별",정원,현원
"2022","전국",1476686,1095450
"2022","서울특별시",223628,167427
"2022","부산광역시",76146,55850
"2022","대구광역시",59434,42487
"2022","인천광역시",80896,62200
"2022","광주광역시",46531,31732
"2022","대전광역시",39145,28144
"2022","울산광역시",31746,24892
"2022","세종특별자치시",18789,14927
"2022","경기도",424321,331516
"2022","강원특별자치도",45475,32680
"2022","충청북도",54338,38884
"2022","충청남도",72870,52196
"2022","전북특별자치도",51748,34789
"2022","전라남도",56047,38927
"2022","경상북도",72231,48988
"2022","경상남도",96773,68841
"2022","제주특별자치도",26568,20970
