"시도별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"전국",43742,42517,41084,40238,39171,37371,35352,33246,30923,28954
"서울특별시",6787,6598,6368,6226,6008,5698,5370,5049,4712,4431
"부산광역시",1957,1971,1937,1920,1891,1848,1778,1668,1547,1447
"대구광역시",1588,1539,1483,1464,1405,1322,1268,1187,1139,1079
"인천광역시",2308,2278,2231,2186,2141,2049,1943,1803,1697,1652
"광주광역시",1260,1264,1238,1240,1195,1122,1072,1002,940,878
"대전광역시",1698,1669,1584,1505,1406,1288,1185,1101,1013,916
"울산광역시",946,934,895,881,868,842,790,720,656,612
"세종특별자치시",160,216,250,289,343,359,350,343,327,314
"경기도",13259,12689,12120,11825,11682,11305,10761,10136,9438,8903
"강원특별자치도",1257,1227,1180,1149,1086,1036,999,954,906,847
"충청북도",1229,1230,1208,1186,1157,1130,1082,1042,972,921
"충청남도",2053,1988,1974,1955,1916,1812,1717,1625,1516,1421
"전북특별자치도",1654,1623,1562,1497,1397,1288,1195,1115,1024,944
"전라남도",1242,1238,1251,1241,1205,1147,1084,1051,999,952
"경상북도",2212,2130,2102,2063,1976,1844,1725,1617,1463,1310
"경상남도",3533,3349,3158,3084,2982,2777,2544,2357,2123,1904
"제주특별자치도",599,574,543,527,513,504,489,476,451,423
